ACNT_YR,구분,중앙재정,지방재정,지방교육재정,내부거래,합계,내부거래,일반정부
"2021","I. 비금융자산","1,177,125","2,598,969","113,385",0,"1,356,177",0,"2,533,301"
"2021","  1. 고정자산","518,004","1,596,441","78,545",0,"837,493",0,"1,355,497"
"2021","    1.1. 건물및구조물","368,873","1,546,532","62,998",0,"804,765",0,"1,173,638"
"2021","    1.2. 기계및장비","129,738","45,087","15,086",0,"30,086",0,"159,825"
"2021","    1.3. 기타고정자산","19,393","4,822",461,0,"2,642",0,"22,035"
"2021","  2. 재고자산","10,061","9,422",0,0,"4,711",0,"14,772"
"2021","  3. 가치저장자산",0,0,0,0,0,0,0
"2021","  4. 비생산자산","649,059","993,105","34,840",0,"513,973",0,"1,163,032"
"2021","    4.1. 토지","645,926","991,784","34,838",0,"513,311",0,"1,159,237"
"2021","    4.2. 지하자산",0,0,0,0,0,0,0
"2021","    4.3. 기타자연발생자산",0,0,0,0,0,0,0
"2021","    4.4. 무형비생산자산","3,133","1,321",2,0,661,0,"3,795"
"2021","II. 금융자산","1,846,145","320,023","12,888","-1,091","165,364","-19,768","1,991,741"
"2021","  1. 현금및예금","198,303","207,570","9,836",0,"108,703",0,"307,006"
"2021","  2. 주식이외의유가증권","193,624",116,0,0,58,"-10,461","183,221"
"2021","  3. 융자","218,201","15,175","1,202",0,"8,188","-7,129","219,260"
"2021","  4. 주식및기타지분","950,396","66,737",0,0,"33,368",0,"983,765"
"2021","  5. 보험책임준비금",0,0,0,0,0,0,0
"2021","  6. 파생금융상품",641,0,0,0,0,0,641
"2021","  7. 기타미수계정","284,979","30,425","1,850","-1,091","15,046","-2,178","297,848"
"2021","III. 부채","1,018,367","137,005","4,885","-1,091","69,854","-19,768","1,068,453"
"2021","  1. 특별인출권 (SDRs)",0,0,0,0,0,0,0
"2021","  2. 현금및예금","1,960",0,0,0,0,0,"1,960"
"2021","  3. 주식이외의유가증권","836,122","56,050",0,0,"28,025","-10,461","853,686"
"2021","  4. 융자","110,331","30,132","4,341",0,"17,237","-7,129","120,438"
"2021","  5. 주식및기타지분","1,883",0,0,0,0,0,"1,883"
"2021","  6. 보험책임준비금","3,629",0,0,0,0,0,"3,629"
"2021","  7. 파생금융상품",322,0,0,0,0,0,322
"2021","  8. 기타미지급계정","64,120","50,822",545,"-1,091","24,592","-2,178","86,535"
