ACNT_YR,구분,중앙재정,지방재정,지방교육재정,내부거래,합계,내부거래,일반정부
"2021","I. 비용","634,278","593,557","77,255","-18,414","316,992","-225,244","726,025"
"2021","1. 피용자보수","55,934","118,252","36,809",0,"77,531",0,"133,465"
"2021","  1.1. 급여및임금","53,326","103,442","31,183",0,"67,313",0,"120,639"
"2021","  1.2. 사회보험료","2,608","14,810","5,626",0,"10,218",0,"12,826"
"2021","    1.2.1. 명시적사회보험료","2,608","14,810","5,626",0,"10,218",0,"12,826"
"2021","    1.2.2. 암묵적사회보험료",0,0,0,0,0,0,0
"2021","2. 재화와용역의사용","76,290","146,413","3,607",0,"75,010","-7,856","143,444"
"2021","3. 고정자본소비","18,862","30,856","3,786",0,"17,321",0,"36,183"
"2021","4. 이자","20,947","1,938",155,0,"1,046",-94,"21,899"
"2021","  4.1. 비거주자에대한 지급이자",10,0,0,0,0,0,10
"2021","  4.2. 일반정부 이외의 거주자에 대한 지급이자","4,578","1,774",124,0,949,0,"5,527"
"2021","  4.3. 여타일반정부에대한지급이자","16,359",163,32,0,97,-94,"16,362"
"2021","5. 보조","49,935","196,308","10,964",0,"103,636",0,"153,571"
"2021","  5.1. 공기업에 대한 보조","20,969","1,371",0,0,686,0,"21,655"
"2021","  5.2. 민간기업에대한보조","28,966","194,937","10,964",0,"102,950",0,"131,916"
"2021","6. 출연","210,628","48,472","2,945","-18,414","7,294","-217,294",629
"2021","  6.1. 외국정부에 대한 출연",430,0,0,0,0,0,430
"2021","    6.1.1. 경상",430,0,0,0,0,0,430
"2021","    6.1.2. 자본",0,0,0,0,0,0,0
"2021","  6.2. 국제기구에 대한 출연",181,35,0,0,17,0,199
"2021","    6.2.1. 경상",181,35,0,0,17,0,199
"2021","    6.2.2. 자본",0,0,0,0,0,0,0
"2021","  6.3. 여타일반정부에대한출연","210,017","48,437","2,945","-18,414","7,277","-217,294",0
"2021","    6.3.1. 경상","209,689","48,437","2,945","-18,414","7,277","-216,966",0
"2021","    6.3.2. 자본",328,0,0,0,0,-328,0
"2021","7. 사회급여","183,900",0,0,0,0,0,"183,900"
"2021","  7.1. 사회보장급여","183,785",0,0,0,0,0,"183,785"
"2021","  7.2. 사회부조급여",115,0,0,0,0,0,115
"2021","  7.3. 고용주사회급여",0,0,0,0,0,0,0
"2021","8. 기타비용","17,781","51,318","18,989",0,"35,153",0,"52,934"
"2021","  8.1. 이자 이외의 재산비용",65,10,0,0,5,0,71
"2021","  8.2. 기타 미분류비용","17,716","51,308","18,988",0,"35,148",0,"52,864"
"2021","    8.2.1. 경상","17,716","51,300","18,980",0,"35,140",0,"52,856"
"2021","    8.2.2. 자본",0,8,8,0,8,0,8
