ACNT_YR,구분,중앙재정,지방재정,지방교육재정,내부거래,합계,내부거래,일반정부
"2021","I. 비금융자산","153,988","42,317",77,0,"21,197",0,"175,185"
"2021","  1. 고정자산","42,665","3,218",-70,0,"1,574",0,"44,239"
"2021","    1.1. 건물및구조물","44,155","-1,641",-59,0,-850,0,"43,305"
"2021","    1.2. 기계및장비","-1,844","3,910",-434,0,"1,738",0,-106
"2021","    1.3. 기타고정자산",354,949,424,0,686,0,"1,040"
"2021","  2. 재고자산",-153,375,0,0,187,0,34
"2021","  3. 가치저장자산",0,0,0,0,0,0,0
"2021","  4. 비생산자산","111,476","38,724",147,0,"19,436",0,"130,912"
"2021","    4.1. 토지","111,574","39,175",147,0,"19,661",0,"131,236"
"2021","    4.2. 지하자산",0,0,0,0,0,0,0
"2021","    4.3. 기타자연발생자산",0,0,0,0,0,0,0
"2021","    4.4. 무형비생산자산",-98,-451,0,0,-226,0,-324
"2021","I. 금융자산","125,637","-14,887",0,0,"-7,444",0,"118,194"
"2021","  1. 현금및예금","6,433","1,101",0,0,550,0,"6,984"
"2021","  2. 주식이외의유가증권","-3,524",0,0,0,0,0,"-3,524"
"2021","  3. 융자",347,8,0,0,4,0,351
"2021","  4. 주식및기타지분","91,850","-11,128",0,0,"-5,564",0,"86,286"
"2021","  5. 보험책임준비금",0,0,0,0,0,0,0
"2021","  6. 파생금융상품","2,084",0,0,0,0,0,"2,084"
"2021","  7. 기타미수계정","28,446","-4,868",0,0,"-2,434",0,"26,012"
"2021","III. 부채","1,426","1,988",0,0,994,0,"2,420"
"2021","  1. 특별인출권 (SDRs)",0,0,0,0,0,0,0
"2021","  2. 현금및예금",0,0,0,0,0,0,0
"2021","  3. 주식이외의유가증권","1,103","1,507",0,0,754,0,"1,857"
"2021","  4. 융자",-110,32,0,0,16,0,-94
"2021","  5. 주식및기타지분",0,0,0,0,0,0,0
"2021","  6. 보험책임준비금",0,0,0,0,0,0,0
"2021","  7. 파생금융상품",762,0,0,0,0,0,762
"2021","  8. 기타미지급계정",-328,449,0,0,224,0,-103
"2021","IV. 순금융자산:","124,211","-16,875",0,0,"-8,438",0,"115,773"
