ACNT_YR,구분,중앙재정,지방재정,지방교육재정,내부거래,합계,내부거래,일반정부
"2021","    1. 수익","629,958","671,607","86,715","-18,414","360,747","-225,244","765,461"
"2021","      조세수입","348,116","230,427",0,0,"115,214",0,"463,329"
"2021","      1.2. 사회보험료","169,007",0,0,0,0,0,"169,007"
"2021","      1.3. 출연","7,277","375,883","80,979","-18,414","210,017","-217,294",0
"2021","      1.4. 기타수익","105,559","65,297","5,736",0,"35,516","-7,951","133,125"
"2021","    2. 비용","634,278","593,557","77,255","-18,414","316,992","-225,244","726,025"
"2021","      2.1. 피용자보수","55,934","118,252","36,809",0,"77,531",0,"133,465"
"2021","      2.2. 재화와 용역의 사용","76,290","146,413","3,607",0,"75,010","-7,856","143,444"
"2021","      2.3. 고정자본소비","18,862","30,856","3,786",0,"17,321",0,"36,183"
"2021","      2.4. 이자","20,947","1,938",155,0,"1,046",-94,"21,899"
"2021","      2.5. 보조","49,935","196,308","10,964",0,"103,636",0,"153,571"
"2021","      2.6. 출연","210,628","48,472","2,945","-18,414","7,294","-217,294",629
"2021","      2.7. 사회급여","183,900",0,0,0,0,0,"183,900"
"2021","      2.8. 기타비용","17,781","51,318","18,989",0,"35,153",0,"52,934"
"2021","      3.1. 비금융자산의 순취득","11,749","62,534","5,734",0,"34,134",0,"45,883"
"2021","        3.1.1. 고정자산","10,301","54,896","5,069",0,"29,983",0,"40,284"
"2021","        3.1.2. 재고자산변동",-504,555,0,0,278,0,-226
"2021","        3.1.3. 가치저장자산",0,0,0,0,0,0,0
"2021","        3.1.4. 비생산자산","1,952","7,083",665,0,"3,874",0,"5,826"
"2021","      3.2. 금융자산의 순취득","99,762","29,505","2,049",-297,"15,480","-3,532","111,710"
"2021","      3.3. 부채의 순발생","115,831","13,989","-1,677",-297,"5,859","-3,532","118,157"
"2021","  총운영수지(1-2+2.3)","14,543","108,906","13,246",0,"61,076",0,"75,619"
"2021","  순융자/순차입(1-2-3.1)","-16,068","15,516","3,727",0,"9,621",0,"-6,447"
"2021","  순운영수지(1-2)","-4,319","78,050","9,460",0,"43,755",0,"39,436"
