ACNT_YR,구분,중앙재정,지방재정,지방교육재정,내부거래,합계,내부거래,일반정부
"2021","I. 수익","629,958","671,607","86,715","-18,414","360,747","-225,244","765,461"
"2021","I-1. 조세수입","348,116","230,427",0,0,"115,214",0,"463,329"
"2021","  1. 소득및이익세","191,509","40,450",0,0,"20,225",0,"211,734"
"2021","    1.1. 개인소득세","117,691","40,450",0,0,"20,225",0,"137,917"
"2021","    1.2. 법인세","73,817",0,0,0,0,0,"73,817"
"2021","    1.3. 미분류",0,0,0,0,0,0,0
"2021","  2. 급여및인력세",0,0,0,0,0,0,0
"2021","  3. 재산세","31,055","118,529",0,0,"59,264",0,"90,319"
"2021","    3.1. 부동산세","7,112","33,996",0,0,"16,998",0,"24,110"
"2021","    3.2. 순재산세",0,0,0,0,0,0,0
"2021","    3.3. 상속세/증여세","13,679",0,0,0,0,0,"13,679"
"2021","    3.4. 자산거래세","10,264","66,855",0,0,"33,427",0,"43,692"
"2021","    3.5. 기타비반복적재산세",0,0,0,0,0,0,0
"2021","    3.6. 기타반복적재산세",0,"17,678",0,0,"8,839",0,"8,839"
"2021","  4. 재화및용역세","107,435","51,236",0,0,"25,618",0,"133,053"
"2021","    4.1. 재화와용역에대한일반조세","79,765","35,716",0,0,"17,858",0,"97,623"
"2021","      4.1.1. 부가가치세","79,765","35,716",0,0,"17,858",0,"97,623"
"2021","      4.1.2. 판매세",0,0,0,0,0,0,0
"2021","      4.1.3. 거래세 및 기타 재화와 용역에 대한 일반조세",0,0,0,0,0,0,0
"2021","    4.2. 물품세","27,670","7,253",0,0,"3,627",0,"31,297"
"2021","    4.3. 전매이익세",0,0,0,0,0,0,0
"2021","    4.4. 선별용역세",0,212,0,0,106,0,106
"2021","    4.5. 재화이용영업활동허가세",0,"4,323",0,0,"2,161",0,"2,161"
"2021","      4.5.1. 차량세",0,0,0,0,0,0,0
"2021","      4.5.2. 기타재화이용영업활동허가",0,"4,323",0,0,"2,161",0,"2,161"
"2021","    4.6. 기타재화및용역세",0,"3,733",0,0,"1,866",0,"1,866"
"2021","  5. 국제무역거래세","8,674",0,0,0,0,0,"8,674"
"2021","    5.1. 수입관세","8,674",0,0,0,0,0,"8,674"
"2021","    5.2. 수출관세",0,0,0,0,0,0,0
"2021","    5.3. 수출입전매이익세",0,0,0,0,0,0,0
"2021","    5.4. 외환거래이익세",0,0,0,0,0,0,0
"2021","    5.5. 외환세",0,0,0,0,0,0,0
"2021","    5.6. 기타무역거래세",0,0,0,0,0,0,0
"2021","  6. 기타조세","9,442","20,211",0,0,"10,106",0,"19,548"
"2021","I-2. 사회보험료","169,007",0,0,0,0,0,"169,007"
"2021","  1. 사회보장보험료","152,350",0,0,0,0,0,"152,350"
"2021","    1.1. 피용자보험료","36,000",0,0,0,0,0,"36,000"
"2021","    1.2. 고용주보험료","38,974",0,0,0,0,0,"38,974"
"2021","    1.3. 자영업자 또는 비취업자의 보험료",0,0,0,0,0,0,0
"2021","    1.4. 미분류보험료","77,375",0,0,0,0,0,"77,375"
"2021","  2. 기타사회보험료","16,657",0,0,0,0,0,"16,657"
"2021","    2.1. 피용자보험료","8,712",0,0,0,0,0,"8,712"
"2021","    2.2. 고용주보험료","7,945",0,0,0,0,0,"7,945"
"2021","    2.3. 암묵적 보험료",0,0,0,0,0,0,0
"2021","I-3. 출연","7,277","375,883","80,979","-18,414","210,017","-217,294",0
"2021","  1. 외국정부의 출연",0,0,0,0,0,0,0
"2021","    1.1. 경상",0,0,0,0,0,0,0
"2021","    1.2. 자본",0,0,0,0,0,0,0
"2021","  2. 국제기구의 출연",0,0,0,0,0,0,0
"2021","    2.1. 경상",0,0,0,0,0,0,0
"2021","    2.2. 자본",0,0,0,0,0,0,0
"2021","  3. 여타일반정부의출연","7,277","375,883","80,979","-18,414","210,017","-217,294",0
"2021","    3.1. 경상","7,277","375,113","80,865","-18,300","209,689","-216,966",0
"2021","    3.2. 자본",0,770,114,-114,328,-328,0
"2021","I-4. 기타수입","105,559","65,297","5,736",0,"35,516","-7,951","133,125"
"2021","  1. 재산소득","25,747","2,162",106,0,"1,134",-94,"26,787"
"2021","    1.1. 이자","16,122","2,152",102,0,"1,127",-94,"17,154"
"2021","    1.2. 배당","9,225",0,0,0,0,0,"9,225"
"2021","    1.3. 준기업 소득의 인출",0,0,0,0,0,0,0
"2021","    1.4. 보험가입자에 귀속되는 재산소득",0,0,0,0,0,0,0
"2021","    1.5. 지대",401,10,4,0,7,0,408
"2021","  2. 재화와용역의판매수익","31,208","33,174",505,0,"16,840","-7,856","40,191"
"2021","    2.1. 시장기관에의한판매수익","4,552","2,257",0,0,"1,129",0,"5,681"
"2021","    2.2. 행정수수료","3,525","2,111",3,0,"1,057",-8,"4,574"
"2021","    2.3. 시장외적기관에의한부수적판매수익","23,131","28,805",502,0,"14,654","-7,848","29,937"
"2021","    2.4. 재화와 용역의 암묵적 판매수입",0,0,0,0,0,0,0
"2021","  3. 벌금,과태료,몰수금","5,543","2,879",8,0,"1,444",0,"6,986"
"2021","  4. 출연이외의자발적이전","6,855","4,087",869,0,"2,478",0,"9,333"
"2021","    4.1. 경상",790,"3,478",260,0,"1,869",0,"2,659"
"2021","    4.2. 자본","6,065",609,609,0,609,0,"6,674"
"2021","  5. 기타미분류수익","36,206","22,995","4,247",0,"13,621",0,"49,827"
