ACNT_YR,구분,중앙재정,지방재정,지방교육재정,내부거래,합계,내부거래,일반정부
"2021","I. 비금융자산","11,749","62,534","5,734",0,"34,134",0,"45,883"
"2021","  1. 고정자산","10,301","54,896","5,069",0,"29,983",0,"40,284"
"2021","    1.1. 건물및구조물",895,"53,659","2,423",0,"28,041",0,"28,936"
"2021","    1.2. 기계및장비","8,891","1,204","2,636",0,"1,920",0,"10,812"
"2021","    1.3. 기타고정자산",515,33,10,0,22,0,536
"2021","  2. 재고자산변동",-504,555,0,0,278,0,-226
"2021","  3. 가치저장자산",0,0,0,0,0,0,0
"2021","  4. 비생산자산","1,952","7,083",665,0,"3,874",0,"5,826"
"2021","    4.1. 토지","1,865","6,856",665,0,"3,761",0,"5,625"
"2021","    4.2. 지하자산",0,0,0,0,0,0,0
"2021","    4.3. 기타자연발생자산",0,0,0,0,0,0,0
"2021","    4.4. 무형비생산자산",87,227,0,0,114,0,201
"2021","II. 금융자산","99,762","29,505","2,049",-297,"15,480","-3,532","111,710"
"2021","  1. 현금및예금","18,975","23,779","2,254",0,"13,017",0,"31,992"
"2021","  2. 주식이외의유가증권","16,734",0,0,0,0,"-2,968","13,766"
"2021","  3. 융자","14,607",-849,-92,0,-471,-466,"13,670"
"2021","  4. 주식및기타지분","35,007","3,171",0,0,"1,586",0,"36,592"
"2021","  5. 보험책임준비금",0,0,0,0,0,0,0
"2021","  6. 파생금융상품","-1,789",0,0,0,0,0,"-1,789"
"2021","  7. 기타미수계정","16,228","3,404",-112,-297,"1,349",-98,"17,480"
"2021","III. 부채","115,831","13,989","-1,677",-297,"5,859","-3,532","118,157"
"2021","  1. 특별인출권 (SDRs)",0,0,0,0,0,0,0
"2021","  2. 현금및예금",184,0,0,0,0,0,184
"2021","  3. 주식이외의유가증권","98,879","8,244",0,0,"4,122","-2,968","100,032"
"2021","  4. 융자","12,057","4,437","-1,709",0,"1,364",-466,"12,955"
"2021","  5. 주식및기타지분",859,0,0,0,0,0,859
"2021","  6. 보험책임준비금",925,0,0,0,0,0,925
"2021","  7. 파생금융상품","-2,144",0,0,0,0,0,"-2,144"
"2021","  8. 기타미지급계정","5,071","1,308",32,-297,373,-98,"5,346"
