ACNT_YR,구분,중앙재정,지방재정,지방교육재정,내부거래,합계,내부거래,일반정부
"2022","I. 비금융자산","11,321","16,631",98,0,"8,365",0,"19,686"
"2022","  1. 고정자산","13,636","-13,006",-83,0,"-6,544",0,"7,092"
"2022","    1.1. 건물및구조물","12,743","-14,788",-61,0,"-7,425",0,"5,318"
"2022","    1.2. 기계및장비",387,"1,691",-19,0,836,0,"1,223"
"2022","    1.3. 기타고정자산",506,91,-3,0,44,0,550
"2022","  2. 재고자산",-385,0,0,0,0,0,-385
"2022","  3. 가치저장자산",0,0,0,0,0,0,0
"2022","  4. 비생산자산","-1,930","29,637",181,0,"14,909",0,"12,979"
"2022","    4.1. 토지","-1,817","29,639",181,0,"14,910",0,"13,093"
"2022","    4.2. 지하자산",0,0,0,0,0,0,0
"2022","    4.3. 기타자연발생자산",0,0,0,0,0,0,0
"2022","    4.4. 무형비생산자산",-113,-2,0,0,-1,0,-114
"2022","I. 금융자산","-92,437","-1,295",0,0,-647,0,"-93,084"
"2022","  1. 현금및예금","3,716","5,933",0,0,"2,966",0,"6,682"
"2022","  2. 주식이외의유가증권","-13,930",0,0,0,0,0,"-13,930"
"2022","  3. 융자",298,0,0,0,0,0,298
"2022","  4. 주식및기타지분","-76,245","-1,500",0,0,-750,0,"-76,995"
"2022","  5. 보험책임준비금",0,0,0,0,0,0,0
"2022","  6. 파생금융상품","5,737",0,0,0,0,0,"5,737"
"2022","  7. 기타미수계정","-12,013","-5,727",0,0,"-2,864",0,"-14,876"
"2022","III. 부채","1,867",-3,0,0,-1,0,"1,866"
"2022","  1. 특별인출권 (SDRs)",0,0,0,0,0,0,0
"2022","  2. 현금및예금",0,0,0,0,0,0,0
"2022","  3. 주식이외의유가증권",41,0,0,0,0,0,41
"2022","  4. 융자",25,0,0,0,0,0,25
"2022","  5. 주식및기타지분",0,0,0,0,0,0,0
"2022","  6. 보험책임준비금",0,0,0,0,0,0,0
"2022","  7. 파생금융상품","2,232",0,0,0,0,0,"2,232"
"2022","  8. 기타미지급계정",-430,-3,0,0,-1,0,-432
"2022","IV. 순금융자산:","-94,304","-1,292",0,0,-646,0,"-94,950"
