ACNT_YR,구분,중앙재정(십억원),지방재정,지방교육재정,내부거래,합계,내부거래(십억원),일반정부(십억원)
"2022","I. 수익","700,320","746,115","109,066","-18,573","409,018","-266,959","842,379"
"2022","I-1. 조세수입","398,730","242,905",0,0,"121,452",0,"520,183"
"2022","  1. 소득및이익세","237,271","49,893",0,0,"24,946",0,"262,217"
"2022","    1.1. 개인소득세","134,042","49,893",0,0,"24,946",0,"158,989"
"2022","    1.2. 법인세","103,228",0,0,0,0,0,"103,228"
"2022","    1.3. 미분류",0,0,0,0,0,0,0
"2022","  2. 급여및인력세",0,0,0,0,0,0,0
"2022","  3. 재산세","30,771","107,673",0,0,"53,836",0,"84,608"
"2022","    3.1. 부동산세","6,866","36,977",0,0,"18,488",0,"25,354"
"2022","    3.2. 순재산세",0,0,0,0,0,0,0
"2022","    3.3. 상속세/증여세","17,592",0,0,0,0,0,"17,592"
"2022","    3.4. 자산거래세","6,313","55,117",0,0,"27,559",0,"33,872"
"2022","    3.5. 기타비반복적재산세",0,0,0,0,0,0,0
"2022","    3.6. 기타반복적재산세",0,"15,579",0,0,"7,790",0,"7,790"
"2022","  4. 재화및용역세","111,990","64,692",0,0,"32,346",0,"144,337"
"2022","    4.1. 재화와용역에대한일반조세","88,098","47,825",0,0,"23,912",0,"112,010"
"2022","      4.1.1. 부가가치세","88,098","47,825",0,0,"23,912",0,"112,010"
"2022","      4.1.2. 판매세",0,0,0,0,0,0,0
"2022","      4.1.3. 거래세 및 기타 재화와 용역에 대한 일반조세",0,0,0,0,0,0,0
"2022","    4.2. 물품세","23,893","7,488",0,0,"3,744",0,"27,637"
"2022","    4.3. 전매이익세",0,0,0,0,0,0,0
"2022","    4.4. 선별용역세",0,"1,678",0,0,839,0,839
"2022","    4.5. 재화이용영업활동허가세",0,"3,803",0,0,"1,902",0,"1,902"
"2022","      4.5.1. 차량세",0,0,0,0,0,0,0
"2022","      4.5.2. 기타재화이용영업활동허가",0,"3,803",0,0,"1,902",0,"1,902"
"2022","    4.6. 기타재화및용역세",0,"3,897",0,0,"1,949",0,"1,949"
"2022","  5. 국제무역거래세","9,810",0,0,0,0,0,"9,810"
"2022","    5.1. 수입관세","9,810",0,0,0,0,0,"9,810"
"2022","    5.2. 수출관세",0,0,0,0,0,0,0
"2022","    5.3. 수출입전매이익세",0,0,0,0,0,0,0
"2022","    5.4. 외환거래이익세",0,0,0,0,0,0,0
"2022","    5.5. 외환세",0,0,0,0,0,0,0
"2022","    5.6. 기타무역거래세",0,0,0,0,0,0,0
"2022","  6. 기타조세","8,888","20,647",0,0,"10,323",0,"19,211"
"2022","I-2. 사회보험료","183,695",0,0,0,0,0,"183,695"
"2022","  1. 사회보장보험료","166,422",0,0,0,0,0,"166,422"
"2022","    1.1. 피용자보험료","37,931",0,0,0,0,0,"37,931"
"2022","    1.2. 고용주보험료","42,424",0,0,0,0,0,"42,424"
"2022","    1.3. 자영업자 또는 비취업자의 보험료",0,0,0,0,0,0,0
"2022","    1.4. 미분류보험료","86,068",0,0,0,0,0,"86,068"
"2022","  2. 기타사회보험료","17,273",0,0,0,0,0,"17,273"
"2022","    2.1. 피용자보험료","8,836",0,0,0,0,0,"8,836"
"2022","    2.2. 고용주보험료","8,437",0,0,0,0,0,"8,437"
"2022","    2.3. 암묵적 보험료",0,0,0,0,0,0,0
"2022","I-3. 출연","8,462","436,898","102,907","-18,573","251,330","-259,792",0
"2022","  1. 외국정부의 출연",0,0,0,0,0,0,0
"2022","    1.1. 경상",0,0,0,0,0,0,0
"2022","    1.2. 자본",0,0,0,0,0,0,0
"2022","  2. 국제기구의 출연",0,0,0,0,0,0,0
"2022","    2.1. 경상",0,0,0,0,0,0,0
"2022","    2.2. 자본",0,0,0,0,0,0,0
"2022","  3. 여타일반정부의출연","8,462","436,898","102,907","-18,573","251,330","-259,792",0
"2022","    3.1. 경상","8,308","435,988","102,761","-18,406","250,968","-259,277",0
"2022","    3.2. 자본",154,910,146,-166,362,-515,0
"2022","I-4. 기타수입","109,432","66,312","6,159",0,"36,236","-7,167","138,501"
"2022","  1. 재산소득","27,910","4,048",371,0,"2,209",-77,"30,042"
"2022","    1.1. 이자","16,938","4,037",366,0,"2,201",-77,"19,062"
"2022","    1.2. 배당","10,589",0,0,0,0,0,"10,589"
"2022","    1.3. 준기업 소득의 인출",0,0,0,0,0,0,0
"2022","    1.4. 보험가입자에 귀속되는 재산소득",0,0,0,0,0,0,0
"2022","    1.5. 지대",383,12,5,0,8,0,391
"2022","  2. 재화와용역의판매수익","32,830","33,738",342,0,"17,040","-7,090","42,781"
"2022","    2.1. 시장기관에의한판매수익","3,894","2,186",0,0,"1,093",0,"4,987"
"2022","    2.2. 행정수수료","4,342","2,234",2,0,"1,118",-9,"5,451"
"2022","    2.3. 시장외적기관에의한부수적판매수익","24,594","29,318",340,0,"14,829","-7,080","32,342"
"2022","    2.4. 재화와 용역의 암묵적 판매수입",0,0,0,0,0,0,0
"2022","  3. 벌금,과태료,몰수금","5,097","2,955",8,0,"1,482",0,"6,578"
"2022","  4. 출연이외의자발적이전","5,675","4,868","1,475",0,"3,172",0,"8,847"
"2022","    4.1. 경상",681,"3,545",152,0,"1,848",0,"2,530"
"2022","    4.2. 자본","4,994","1,323","1,323",0,"1,323",0,"6,317"
"2022","  5. 기타미분류수익","37,920","20,703","3,963",0,"12,333",0,"50,253"
