ACNT_YR,구분,중앙재정,지방재정,지방교육재정,내부거래,합계,내부거래,일반정부
"2022","I. 비금융자산","13,649","61,626","6,420",0,"34,023",0,"47,673"
"2022","  1. 고정자산","7,973","56,040","5,306",0,"30,673",0,"38,646"
"2022","    1.1. 건물및구조물",543,"54,716","2,811",0,"28,764",0,"29,306"
"2022","    1.2. 기계및장비","6,596","1,104","2,486",0,"1,795",0,"8,391"
"2022","    1.3. 기타고정자산",835,220,9,0,114,0,949
"2022","  2. 재고자산변동","3,013","1,524",0,0,762,0,"3,774"
"2022","  3. 가치저장자산",0,0,0,0,0,0,0
"2022","  4. 비생산자산","2,664","4,062","1,114",0,"2,588",0,"5,252"
"2022","    4.1. 토지","2,571","3,969","1,114",0,"2,542",0,"5,113"
"2022","    4.2. 지하자산",0,0,0,0,0,0,0
"2022","    4.3. 기타자연발생자산",0,0,0,0,0,0,0
"2022","    4.4. 무형비생산자산",93,93,0,0,46,0,139
"2022","II. 금융자산","45,527","69,264","18,743",649,"44,653",-42,"90,137"
"2022","  1. 현금및예금","-36,229","60,788","19,346",0,"40,067",0,"3,838"
"2022","  2. 주식이외의유가증권","6,698",26,0,0,13,-534,"6,177"
"2022","  3. 융자","14,898","2,824",-80,0,"1,372",547,"16,817"
"2022","  4. 주식및기타지분","65,208","3,667",0,0,"1,833",0,"67,041"
"2022","  5. 보험책임준비금",0,0,0,0,0,0,0
"2022","  6. 파생금융상품","-4,998",0,0,0,0,0,"-4,998"
"2022","  7. 기타미수계정",-50,"1,959",-523,649,"1,367",-55,"1,262"
"2022","III. 부채","86,143","5,414",-903,649,"2,904",-42,"89,005"
"2022","  1. 특별인출권 (SDRs)",0,0,0,0,0,0,0
"2022","  2. 현금및예금",122,0,0,0,0,0,122
"2022","  3. 주식이외의유가증권","87,765","5,639",0,0,"2,820",-534,"90,050"
"2022","  4. 융자","-1,148",994,-838,0,78,547,-522
"2022","  5. 주식및기타지분",-864,0,0,0,0,0,-864
"2022","  6. 보험책임준비금",-538,0,0,0,0,0,-538
"2022","  7. 파생금융상품","-1,442",0,0,0,0,0,"-1,442"
"2022","  8. 기타미지급계정","2,248","-1,220",-66,649,6,-55,"2,199"
