ACNT_YR,구분,중앙재정(십억원),지방재정,지방교육재정,내부거래,합계,내부거래(십억원),일반정부(십억원)
"2022","    1. 수익","700,320","746,115","109,066","-18,573","409,018","-266,959","842,379"
"2022","      조세수입","398,730","242,905",0,0,"121,452",0,"520,183"
"2022","      1.2. 사회보험료","183,695",0,0,0,0,0,"183,695"
"2022","      1.3. 출연","8,462","436,898","102,907","-18,573","251,330","-259,792",0
"2022","      1.4. 기타수익","109,432","66,312","6,159",0,"36,236","-7,167","138,501"
"2022","    2. 비용","727,286","620,639","82,999","-18,573","333,247","-266,959","793,575"
"2022","      2.1. 피용자보수","57,646","123,908","38,831",0,"81,370",0,"139,015"
"2022","      2.2. 재화와 용역의 사용","79,135","159,493","4,733",0,"82,113","-7,090","154,159"
"2022","      2.3. 고정자본소비","19,367","32,641","4,132",0,"18,387",0,"37,753"
"2022","      2.4. 이자","25,197","2,092",123,0,"1,108",-77,"26,228"
"2022","      2.5. 보조","71,799","203,356","12,756",0,"108,056",0,"179,855"
"2022","      2.6. 출연","252,035","50,893","3,214","-18,573","8,481","-259,792",723
"2022","      2.7. 사회급여","200,106",0,0,0,0,0,"200,106"
"2022","      2.8. 기타비용","22,002","48,256","19,210",0,"33,733",0,"55,735"
"2022","      3.1. 비금융자산의 순취득","13,649","61,626","6,420",0,"34,023",0,"47,673"
"2022","        3.1.1. 고정자산","7,973","56,040","5,306",0,"30,673",0,"38,646"
"2022","        3.1.2. 재고자산변동","3,013","1,524",0,0,762,0,"3,774"
"2022","        3.1.3. 가치저장자산",0,0,0,0,0,0,0
"2022","        3.1.4. 비생산자산","2,664","4,062","1,114",0,"2,588",0,"5,252"
"2022","      3.2. 금융자산의 순취득","45,527","69,264","18,743",649,"44,653",-42,"90,137"
"2022","      3.3. 부채의 순부담","86,143","5,414",-903,649,"2,904",-42,"89,005"
"2022","  총운영수지(1-2+2.3)","-7,600","158,117","30,199",0,"94,158",0,"86,558"
"2022","  순융자/순차입(1-2-3.1)","-40,616","63,850","19,646",0,"41,748",0,"1,132"
"2022","  순운영수지(1-2)","-26,967","125,476","26,067",0,"75,771",0,"48,805"
